0	2026-02-28T23:14:46.721105	17	pendiente	Reserva actualizada
1	2026-02-28T23:14:46.738153	6	aprobada	Reserva aprobada
2	2026-02-28T23:14:46.756668	18	pendiente	Reserva actualizada
3	2026-02-28T23:14:46.774718	8	aprobada	Reserva aprobada
4	2026-02-28T23:14:46.793135	12	aprobada	Reserva aprobada
5	2026-02-28T23:14:46.811278	19	aprobada	Reserva aprobada
6	2026-02-28T23:14:46.829747	10	aprobada	Reserva aprobada
7	2026-02-28T23:14:46.847923	14	pendiente	Reserva actualizada
8	2026-02-28T23:14:46.866153	3	aprobada	Reserva aprobada
9	2026-02-28T23:14:46.884141	3	pendiente	No es posible realizar cambios a una reserva aprobada
10	2026-02-28T23:14:46.902817	14	aprobada	Reserva aprobada
11	2026-02-28T23:14:46.921013	9	aprobada	Reserva aprobada
12	2026-02-28T23:14:46.939476	3	pendiente	No es posible realizar cambios a una reserva aprobada
13	2026-02-28T23:14:46.957750	8	aprobada	No es posible realizar cambios a una reserva aprobada
14	2026-02-28T23:14:46.977043	16	aprobada	Reserva aprobada
15	2026-02-28T23:14:46.995614	2	pendiente	Reserva actualizada
16	2026-02-28T23:14:47.014328	13	aprobada	Reserva aprobada
17	2026-02-28T23:14:47.033698	18	aprobada	Reserva aprobada
18	2026-02-28T23:14:47.053457	10	pendiente	No es posible realizar cambios a una reserva aprobada
19	2026-02-28T23:14:47.073476	1	pendiente	Reserva actualizada
20	2026-02-28T23:14:47.092647	1	aprobada	Reserva aprobada
21	2026-02-28T23:14:47.111631	3	aprobada	No es posible realizar cambios a una reserva aprobada
22	2026-02-28T23:14:47.131740	5	aprobada	Reserva aprobada
23	2026-02-28T23:14:47.151115	13	aprobada	No es posible realizar cambios a una reserva aprobada
24	2026-02-28T23:14:47.169496	12	aprobada	No es posible realizar cambios a una reserva aprobada
25	2026-02-28T23:14:47.188546	11	pendiente	Reserva actualizada
26	2026-02-28T23:14:47.208225	1	aprobada	No es posible realizar cambios a una reserva aprobada
27	2026-02-28T23:14:47.227864	5	aprobada	No es posible realizar cambios a una reserva aprobada
28	2026-02-28T23:14:47.247520	2	aprobada	Reserva aprobada
29	2026-02-28T23:14:47.266908	8	aprobada	No es posible realizar cambios a una reserva aprobada
30	2026-02-28T23:14:47.286430	9	pendiente	No es posible realizar cambios a una reserva aprobada
31	2026-02-28T23:14:47.305703	9	aprobada	No es posible realizar cambios a una reserva aprobada
32	2026-02-28T23:14:47.324864	17	pendiente	Reserva actualizada
33	2026-02-28T23:14:47.343664	4	pendiente	Reserva actualizada
34	2026-02-28T23:14:47.363027	7	pendiente	Reserva actualizada
35	2026-02-28T23:14:47.382384	1	aprobada	No es posible realizar cambios a una reserva aprobada
36	2026-02-28T23:14:47.400603	14	aprobada	No es posible realizar cambios a una reserva aprobada
37	2026-02-28T23:14:47.419486	8	pendiente	No es posible realizar cambios a una reserva aprobada
38	2026-02-28T23:14:47.438132	16	pendiente	No es posible realizar cambios a una reserva aprobada
39	2026-02-28T23:14:47.458280	7	aprobada	Reserva aprobada
40	2026-02-28T23:14:47.477140	15	pendiente	Reserva actualizada
41	2026-02-28T23:14:47.496211	10	pendiente	No es posible realizar cambios a una reserva aprobada
42	2026-02-28T23:14:47.515796	3	aprobada	No es posible realizar cambios a una reserva aprobada
43	2026-02-28T23:14:47.535558	12	aprobada	No es posible realizar cambios a una reserva aprobada
44	2026-02-28T23:14:47.554113	7	aprobada	No es posible realizar cambios a una reserva aprobada
45	2026-02-28T23:14:47.572206	8	pendiente	No es posible realizar cambios a una reserva aprobada
46	2026-02-28T23:14:47.591931	19	pendiente	No es posible realizar cambios a una reserva aprobada
47	2026-02-28T23:14:47.611081	3	pendiente	No es posible realizar cambios a una reserva aprobada
48	2026-02-28T23:14:47.629658	16	pendiente	No es posible realizar cambios a una reserva aprobada
49	2026-02-28T23:14:47.648390	16	pendiente	No es posible realizar cambios a una reserva aprobada
50	2026-02-28T23:14:47.667361	13	aprobada	No es posible realizar cambios a una reserva aprobada
51	2026-02-28T23:14:47.687407	15	pendiente	Reserva actualizada
52	2026-02-28T23:14:47.707356	9	pendiente	No es posible realizar cambios a una reserva aprobada
53	2026-02-28T23:14:47.727031	14	aprobada	No es posible realizar cambios a una reserva aprobada
54	2026-02-28T23:14:47.748608	5	aprobada	No es posible realizar cambios a una reserva aprobada
55	2026-02-28T23:14:47.772158	15	aprobada	Reserva aprobada
56	2026-02-28T23:14:47.794676	10	aprobada	No es posible realizar cambios a una reserva aprobada
57	2026-02-28T23:14:47.815465	11	aprobada	Reserva aprobada
58	2026-02-28T23:14:47.834571	10	aprobada	No es posible realizar cambios a una reserva aprobada
59	2026-02-28T23:14:47.852761	5	pendiente	No es posible realizar cambios a una reserva aprobada
60	2026-02-28T23:14:47.872127	6	pendiente	No es posible realizar cambios a una reserva aprobada
61	2026-02-28T23:14:47.891479	3	pendiente	No es posible realizar cambios a una reserva aprobada
62	2026-02-28T23:14:47.910665	6	aprobada	No es posible realizar cambios a una reserva aprobada
63	2026-02-28T23:14:47.929480	7	aprobada	No es posible realizar cambios a una reserva aprobada
64	2026-02-28T23:14:47.949216	3	pendiente	No es posible realizar cambios a una reserva aprobada
65	2026-02-28T23:14:47.968895	16	pendiente	No es posible realizar cambios a una reserva aprobada
66	2026-02-28T23:14:47.988303	9	pendiente	No es posible realizar cambios a una reserva aprobada
67	2026-02-28T23:14:48.008016	15	aprobada	No es posible realizar cambios a una reserva aprobada
